<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: summary_all.csv>index,horizon,family,label,mae_floor_pct,mae_ceiling_pct,mae_spread_pct,skill_vs_atr,skill_vs_global_median,folds_won,fold_win_pct,qualified_folds_won,qualified_fold_win_pct,fold_skill_min,fold_skill_median,fold_skill_max,recent_2fold_skill_mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_prob_skill_gt_zero,test_mae_floor_pct,test_mae_ceiling_pct,test_mae_spread_pct,test_skill_vs_atr,test_skill_vs_global_median,test_floor_regression_vs_atr,test_ceiling_regression_vs_atr,compute_seconds,complexity,mae_floor,mae_ceiling,mae_spread,tickers_positive,tickers_total,ticker_positive_pct,ticker_skill_median,regimes_positive,regimes_total,periods_positive,periods_total,test_tickers_positive,test_tickers_total,test_ticker_positive_pct,test_ticker_skill_median
0,d1,atr_only,ATR-only,0.009380732964139,0.0093554305669763,0.0093617107545672,0.0,0.1679602140085438,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112447640538898,0.0122939455375471,0.0106774146839377,0.0,0.2850447784042836,0.0,0.0,0.0076541389998965,very_low,2.3360324905403567,2.2693723865771576,2.3100956517535485,0.0,50.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,50.0,0.0,0.0
1,d1,adaptive_atr,Adaptive ATR,0.0093747199325724,0.0093467269694249,0.0093271746777361,0.0036890775347062,0.1710296732910267,5,1.0,5,1.0,0.0011901207480875,0.004213480526916,0.0054742837804421,0.004843882153679,0.0019087983900968,0.0056041669472078,1.0,0.0112551028625462,0.0122874353805803,0.0106493054955253,0.0026325837521981,0.2869269579042057,0.0009194331341078,-0.0005295417119763,0.1192959809999365,very_low,2.334259530303745,2.2679365791362978,2.301543829175004,45.0,50.0,0.9,0.0036234543401191,2.0,3.0,9.0,11.0,31.0,50.0,0.62,0.0018278054412206
2,d1,current_model,Current robust_range_v3,0.0098175196454617,0.0096777401955251,0.0099611887635668,-0.0640350919523025,0.1146804698046068,0,0.0,0,0.0,-0.1563846530550983,-0.0504807921793113,-0.0213223886368818,-0.0359015904080965,-0.092408389366847,-0.0385184522853602,0.0,0.0116506627849645,0.0125801758816802,0.0115849267957223,-0.0849936186472002,0.2242781469501529,0.0360966872341153,0.0232822199560613,2.570880788000068,medium,2.447167280613306,2.3540811132781734,2.4469011451802887,8.0,50.0,0.16,-0.0580988456646435,0.0,3.0,1.0,11.0,13.0,50.0,0.26,-0.050170518444462
3,d1,residual_ridge,ATR + residual Ridge,0.0097323155985221,0.0095805138376907,0.0091225058960231,0.0255514045258697,0.1892199991620297,4,0.8,0,0.0,-0.0432237236840906,0.0257585802166927,0.060426594405084,0.0387124794772094,-0.000682023442863,0.0506588063089774,0.972,0.0116006640240764,0.0124288360527022,0.0103565693998031,0.0300489672483403,0.3065284444420433,0.0316502834991427,0.0109721093804346,1.9496459959999584,low,2.4207225525107576,2.323834061940226,2.24292726654858,41.0,50.0,0.82,0.0173001557769911,3.0,3.0,8.0,11.0,33.0,50.0,0.66,0.0222124938154774
4,d1,residual_huber,ATR + residual Huber,0.0093673816350877,0.0093055792318104,0.0087472446474366,0.0656360918682356,0.2225720538399062,5,1.0,5,1.0,0.061092679004175,0.0668454425185908,0.0699383793313155,0.0639690607613829,0.0552999243424884,0.0764722928613742,1.0,0.0113003820754169,0.0122259206849744,0.0105980055122601,0.0074371160087202,0.2903619833283313,0.0049461261490686,-0.005533199440734,53.38068564699961,low_medium,2.3333283045802244,2.2523152941893594,2.145917894542354,50.0,50.0,1.0,0.071160089580343,3.0,3.0,11.0,11.0,32.0,50.0,0.64,0.0210432912739406
5,d1,residual_boosted,ATR + residual HGB,0.0093585464188945,0.0092861717348892,0.0090789391608224,0.0302051196793151,0.1930920753223676,5,1.0,5,1.0,0.0234606960712819,0.0282143520685984,0.0435261377441998,0.0304619872332231,0.0247540314236906,0.0370916287931548,1.0,0.0112550500402066,0.0122177249785399,0.0106076777637136,0.0065312552044084,0.2897143334162497,0.0009147356287342,-0.0061998451818831,3.675300665000009,medium,2.3307844442964347,2.2496315659331243,2.235132636993661,50.0,50.0,1.0,0.0356570827175592,3.0,3.0,11.0,11.0,37.0,50.0,0.74,0.0160701331227622
6,d1,ratio_ridge,floor/ATR + ceiling/ATR Ridge,0.0099448605541873,0.0102496134103037,0.0154992585725197,-0.6556010945924837,-0.3775259804319506,0,0.0,0,0.0,-0.7005937536936917,-0.6616277336010741,-0.5899872882122119,-0.6452905209529518,-0.6979509523150549,-0.6086946708187102,0.0,0.0123593749872863,0.0135466021981493,0.0202791791055832,-0.8992592969241515,-0.357885351500131,0.0991226608272763,0.1018921595818329,1.9550096080000685,low,2.489672663113281,2.471862350030616,3.8070404075626216,0.0,50.0,0.0,-0.6444340487784749,0.0,3.0,0.0,11.0,0.0,50.0,0.0,-0.8930229049708879
7,d1,spread_asymmetry,Spread + asymmetry Ridge,0.0094764297173958,0.0093613488288961,0.0087169806536083,0.0688688336845265,0.2252618236488985,5,1.0,4,0.8,0.0434086472478183,0.0695106651387043,0.0801781403524909,0.0748444027455976,0.0505499081983966,0.0867026920804071,1.0,0.0114543148995063,0.0122749069155901,0.0102158988741361,0.0432235539653496,0.3159476840077346,0.0186354150796077,-0.0015486177239777,2.0742933899997524,low,2.356626545052249,2.268550236865898,2.1404261430945657,50.0,50.0,1.0,0.0685344689362685,3.0,3.0,10.0,11.0,45.0,50.0,0.9,0.0416889037524862
8,d1,atr_model_shrinkage,ATR/current shrinkage,0.0094311340994985,0.0093573265169932,0.0091013637543625,0.0278097675766831,0.1910990470715193,5,1.0,5,1.0,0.0212378535238364,0.0268779566932521,0.0333574104364146,0.0272976319801255,0.0201143548503955,0.034700985393563,1.0,0.0113068004152706,0.0123112008818524,0.0105331994580412,0.0135065678504953,0.2947013696148322,0.0055169109003485,0.0014035644010752,5.012355833000129,medium,2.3487660717150867,2.2707308625251983,2.2414436555226054,48.0,50.0,0.96,0.0305697684434421,3.0,3.0,11.0,11.0,42.0,50.0,0.84,0.0273988900949276
9,d1,conservative_ensemble,Conservative ensemble,0.0094044972142661,0.0093135139707057,0.0087917790556223,0.0608790117411872,0.2186139739090525,5,1.0,5,1.0,0.0454314191180494,0.0671425914472451,0.075314952075986,0.0603731855970177,0.050714495187962,0.0703862839498454,1.0,0.0112784352205566,0.0122140411473463,0.0101824148452242,0.0463595217911836,0.3181897605795708,0.0029943862321508,-0.0064994911484562,124.1779419889998,medium_high,2.3414227221992223,2.258561106018981,2.161138703939186,50.0,50.0,1.0,0.064534721430162,3.0,3.0,11.0,11.0,49.0,50.0,0.98,0.0450392927958986
10,w1,atr_only,ATR-only,0.0203029001256912,0.021251638066591,0.0221618972172202,0.0,0.1587184357860177,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223391427047998,0.0280319224136641,0.0254668339253044,0.0,0.2792549958470582,0.0,0.0,0.007617941999797,very_low,5.117050705658141,5.055027182813811,5.389372718983613,0.0,50.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,50.0,0.0,0.0
