<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: huber_400_sensitivity.csv>index,horizon,split,skill,floor_reg,ceil_reg
0,d1,fold1,0.0674325330649119,0.0111903956899508,0.0191683311701191
1,d1,fold2,0.0632157251451228,-0.0043075112881697,-0.007297999760312
2,d1,fold3,0.0699383793313155,-0.0020817362638878,-0.0103324499127008
3,d1,fold4,0.0668454425185908,-0.0067270016628887,-0.0140914395188251
4,d1,fold5,0.061092679004175,-0.0019751917977087,-0.0089853752078198
5,d1,test,0.0074371160087202,0.0049461261490686,-0.005533199440734
6,w1,fold1,0.0839904740849366,0.0507957094544582,0.0409536457559223
7,w1,fold2,0.0617028495781336,0.0039390571258886,0.0263804232750923
8,w1,fold3,0.0790988176332654,-0.0032148352822461,-0.0009887807127867
9,w1,fold4,0.0790703893920222,0.0090792640523102,0.0058766785552533
10,w1,fold5,0.0750997589576206,-0.0027867102689491,-0.0057876284211749
11,w1,test,0.0058833214063815,0.000136557819012,-0.0012107634797053
