horizon,model_name,version,train_rows,test_rows,mae_floor,mae_ceiling,mae_spread,extra_metric_1,extra_metric_2
d1,evt_cp_d1,20260317T160921Z,8800,3800,3.5705251154920914,3.359186877916649,3.1301800994782916,0.9868421052631579,0.9868421052631579
w1,evt_cp_w1,20260317T160921Z,8800,3800,7.383545001305539,6.5536743621912565,7.682373199818728,0.9868421052631579,0.9868421052631579
q1,evt_cp_q1,20260317T160921Z,8800,3800,10.04322189679874,9.057819849083012,10.424577440893597,0.9868421052631579,0.9868421052631579
m3,m3_value_linear + m3_timing_multiclass,20260317T160921Z,n/a,n/a,152.663257469223,77.26404170135744,3.9294750296931036,0.28826666666666667,0.5189333333333334
