horizon,model_name,version,train_rows,test_rows,mae_floor,mae_ceiling,mae_spread,extra_metric_1,extra_metric_2
d1,evt_cp_d1,20260318T223030Z,8750,3750,3.199987334481006,2.9281332152957833,3.198584427105754,1.0,1.0
w1,evt_cp_w1,20260318T223030Z,8750,3750,6.9198508486623656,6.633581980376776,7.044225296310741,1.0,1.0
q1,evt_cp_q1,20260318T223030Z,8750,3750,9.54546295798123,9.91885808554354,9.942259473607043,1.0,1.0
m3,m3_value_linear + m3_timing_multiclass,20260318T223030Z,n/a,n/a,151.6462844778112,76.74552819077635,3.8721866103094036,0.27066666666666667,0.4981333333333333
